spotify_track_uri,spotify_track_id,spotify_artist_id
spotify:track:01n9RVSmu46yXdIJpanNCp,01n9RVSmu46yXdIJpanNCp,2DlKh1IzbG3EwAMaTF2p4A
spotify:track:01nVJIwWpiijmJ6xYgIROX,01nVJIwWpiijmJ6xYgIROX,2CWWgbxApjbyByxBBCvGTm
spotify:track:01neMq1BGUBlYXviqBGK76,01neMq1BGUBlYXviqBGK76,5wbIWUzTPuTxTyG6ouQKqz
spotify:track:01oQJsKhQajtpNDzSt6NvS,01oQJsKhQajtpNDzSt6NvS,58c8ftGgtwcSIoZcHx45pd
spotify:track:01oc1NWevpGhtCkiX5flPH,01oc1NWevpGhtCkiX5flPH,1Bl6wpkWCQ4KVgnASpvzzA
spotify:track:01pNRBcDit8pRRXKAasEIA,01pNRBcDit8pRRXKAasEIA,7IGcjaMGAtsvKBLQX26W4i
spotify:track:01qEyLs6A9m4cWCZXzVGw3,01qEyLs6A9m4cWCZXzVGw3,4TMHGUX5WI7OOm53PqSDAT
spotify:track:01rBdMG2rhPufeYCLfQCyL,01rBdMG2rhPufeYCLfQCyL,161AC1AVRkIGIMxyj5djFQ
spotify:track:01rgZI4xYSpyp4EFrdcS5E,01rgZI4xYSpyp4EFrdcS5E,0d7aBBLFcc4dlETnae6zcH
spotify:track:01rkD4g4BJdMRHvKJr41Fk,01rkD4g4BJdMRHvKJr41Fk,0uNj4RxFjG0iVPlZS753en
spotify:track:01ryv8tqj6gZnGb18srxk7,01ryv8tqj6gZnGb18srxk7,27w1NoOLMX7tJMYqcetPyG
spotify:track:01ryv8tqj6gZnGb18srxk7,01ryv8tqj6gZnGb18srxk7,4LAz9VRX8Nat9kvIzgkg2v
