old_track_uri,new_track_uri
spotify:track:6pWQGPrrY2EXdP67rnwxEs,spotify:track:4b6WRfxJRY40RBpl3TMQVq
spotify:track:4b6WRfxJRY40RBpl3TMQVq,spotify:track:4b6WRfxJRY40RBpl3TMQVq
spotify:track:4PDYYvVrcHWDvesiKo74Lh,spotify:track:7aLYQgzGLy8duSSdTJa1ik
spotify:track:7aLYQgzGLy8duSSdTJa1ik,spotify:track:7aLYQgzGLy8duSSdTJa1ik
spotify:track:7rRYiBxeudiHMNmgptnne9,spotify:track:622fSIVOm6SPcLPNOoYeJn
spotify:track:622fSIVOm6SPcLPNOoYeJn,spotify:track:622fSIVOm6SPcLPNOoYeJn
spotify:track:1l0aqj8C1yDkdpksIDZZSr,spotify:track:4q26ViixkilRLjl1MdLABS
spotify:track:4q26ViixkilRLjl1MdLABS,spotify:track:4q26ViixkilRLjl1MdLABS
spotify:track:6lUjedsIIKRBdyNMpdBbai,spotify:track:5q87OkYnXjyJh3Y4eidfdE
spotify:track:5q87OkYnXjyJh3Y4eidfdE,spotify:track:5q87OkYnXjyJh3Y4eidfdE
spotify:track:0wV549kVU1dSwIbQoF6x5m,spotify:track:04nQ4gteBUlLYmM74HlRpX
spotify:track:04nQ4gteBUlLYmM74HlRpX,spotify:track:04nQ4gteBUlLYmM74HlRpX
spotify:track:0EV08ZFYMYsc8hCwDuC97H,spotify:track:0WZZENH0kt3O2cBE8q5IRq
spotify:track:0WZZENH0kt3O2cBE8q5IRq,spotify:track:0WZZENH0kt3O2cBE8q5IRq
spotify:track:6TdySkLFeLQzZnesrSXvjr,spotify:track:4qvMZBtrZxZlUl9nPR2p0y
spotify:track:4qvMZBtrZxZlUl9nPR2p0y,spotify:track:4qvMZBtrZxZlUl9nPR2p0y
spotify:track:4KnpSJBbcpJBAjEaaJBcL8,spotify:track:49Ib9r9uGkI6HdoucFXfID
spotify:track:49Ib9r9uGkI6HdoucFXfID,spotify:track:49Ib9r9uGkI6HdoucFXfID
spotify:track:48LlAJiAmewJyVdCmMB5Ws,spotify:track:1oBypKRx4Va4cd2ATRx3G0
spotify:track:1oBypKRx4Va4cd2ATRx3G0,spotify:track:1oBypKRx4Va4cd2ATRx3G0
spotify:track:0kD5goTrCibAzBcjIHqgro,spotify:track:7FLQo89iaS5gf2hnIEW7P9
spotify:track:7FLQo89iaS5gf2hnIEW7P9,spotify:track:7FLQo89iaS5gf2hnIEW7P9
spotify:track:6W2iylIrP2MhOI0bpOzuoS,spotify:track:26wJ64Pgts69F81vy1FHyu
spotify:track:26wJ64Pgts69F81vy1FHyu,spotify:track:26wJ64Pgts69F81vy1FHyu
spotify:track:2KSwXaXMgyX7KLIvGZMo9M,spotify:track:1NpLCZNSYEegtDYCRA5PNN
spotify:track:1NpLCZNSYEegtDYCRA5PNN,spotify:track:1NpLCZNSYEegtDYCRA5PNN
spotify:track:0FdTBwYr1aNF1smfqaoCde,spotify:track:0Jur3mZsQba3vqSpcmsOPm
spotify:track:1nkjPVDPQ3zvlWKrpXbNs8,spotify:track:0Jur3mZsQba3vqSpcmsOPm
spotify:track:0Jur3mZsQba3vqSpcmsOPm,spotify:track:0Jur3mZsQba3vqSpcmsOPm
spotify:track:0Ts1WXusvpF6BHcVjzijWd,spotify:track:3Cx9j78Z0NE6jYwBWvvV3P
spotify:track:3Cx9j78Z0NE6jYwBWvvV3P,spotify:track:3Cx9j78Z0NE6jYwBWvvV3P
spotify:track:1IsPb2C0QBbBhTdVCw9Bto,spotify:track:1XvMlowIHtiLoMd0rH8vHz
spotify:track:1XvMlowIHtiLoMd0rH8vHz,spotify:track:1XvMlowIHtiLoMd0rH8vHz
spotify:track:1IHKxEcMPXnlmF9V8ROBVs,spotify:track:1kWja6NVaLZThMop9MYVDz
spotify:track:1kWja6NVaLZThMop9MYVDz,spotify:track:1kWja6NVaLZThMop9MYVDz
spotify:track:2sgqEySoOWEQCNF1SMJnnt,spotify:track:4eX3EcvJ6O7vRcHR6e27TZ
spotify:track:4eX3EcvJ6O7vRcHR6e27TZ,spotify:track:4eX3EcvJ6O7vRcHR6e27TZ
spotify:track:46OCG6HmF9GAOFwDc2JAlV,spotify:track:38iBrrbbXyWaSPkmuDNgjZ
spotify:track:38iBrrbbXyWaSPkmuDNgjZ,spotify:track:38iBrrbbXyWaSPkmuDNgjZ
