artist_name,spotify_artist_id,artist_popularity,followers,main_genre,genres
Purity Ring,1TtJ8j22Roc24e2Jx3OcU4,50,593379.0,canadian electropop,"canadian electropop, dark pop, edmonton indie, grave wave, indietronica, metropopolis, shimmer pop"
Puscifer,2pAajGWerK3ghwToNWFENS,53,617953.0,alternative metal,"alternative metal, industrial rock, nu metal"
Push over,1GGpzgYy2KigT06LVn0UU3,12,7528.0,progressive post-hardcore,progressive post-hardcore
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,70,2872499.0,gangster rap,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop"
Pusher,2exudSjTjUksRJhnF5JZYn,37,22323.0,kawaii future bass,kawaii future bass
Pussy Riot,2hThsqaVEAWhWPBXnaOfB9,43,114097.0,riot grrrl,"riot grrrl, russian indie, russian punk"
Pythius,0CRJK2gwHjs3IKm4uhjNTR,35,17770.0,darkstep,"darkstep, neurofunk"
Pépe,07AMonlLsjj4dHFU2pRjdZ,26,6325.0,breaks,breaks
QUIX,19EW4WBhl0fvZUQgi7wV5M,44,62089.0,brostep,"brostep, electronic trap"
Qrion,0bGDTQ78MVgI5Snqo9KJZw,38,34899.0,japanese edm,"japanese edm, japanese house"
Quality Control,6i392l38cR3uBPF0DbNs7S,64,1277128.0,melodic rap,"melodic rap, trap"
Quasimoto,1rJkz5vopfGxTUGFNB3o4G,49,281030.0,alternative hip hop,"alternative hip hop, psychedelic hip hop"
Quavo,0VRj0yCOv2FXJNP47XQnx5,79,6939619.0,atl hip hop,"atl hip hop, melodic rap, rap, trap"
Queen,1dfeR4HaWDbWqFHLkxsg1d,83,48563361.0,classic rock,"classic rock, glam rock, rock"
Queen Naija,3nViOFa3kZW8OMSNOzwr98,60,2888168.0,pop r&b,"pop r&b, r&b"
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,70,3356876.0,alternative metal,"alternative metal, alternative rock, grunge, modern rock, nu metal, palm desert scene, rock, stoner metal, stoner rock"
Quicksand,1GDjwZ2zwNZizuNJPmH3mE,37,77306.0,emo,"emo, nyhc, post-hardcore"
R.E.M.,4KWTAlx2RvbpseOGMEmROg,72,4202830.0,alternative rock,"alternative rock, athens indie, permanent wave, rock"
RAC,4AGwPDdh1y8hochNzHy5HC,57,165144.0,indietronica,"indietronica, metropopolis, nu disco, shimmer pop"
RAT BOY,2PmIyxmEFsNfQJjEifPDZC,51,105311.0,english indie rock,english indie rock
RATKING,2xtXCUTxmekNFB8oIYuOfe,23,32194.0,escape room,escape room
RIOT,0qPGd8tOMHlFZt8EA1uLFY,47,72482.0,gaming dubstep,gaming dubstep
RJD2,1O3ZOjqFLEnbpZexcRjocn,48,358776.0,electronica,"electronica, instrumental hip hop, jazztronica"
RL Grime,5eIbEEQnDM8yuDVB0bimSP,61,413954.0,brostep,"brostep, edm, electro house, electronic trap"
RSCL,5pkU7zjIzHgfN1n91e51r3,56,5661.0,stutter house,stutter house
RZA,4iCwCMnqsNZ6atvRiADgtn,63,533576.0,east coast hip hop,"east coast hip hop, hardcore hip hop"
Rachel House,1kB7GlXzdNWl28zLcOkQqU,59,2363.0,movie tunes,"movie tunes, show tunes, waiata mo tamariki"
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,80,8760051.0,alternative rock,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
Radkey,1egsOeSvcQyacni1rL6c4C,30,51603.0,black punk,"black punk, missouri indie"
Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,71,7359655.0,melodic rap,"melodic rap, mississippi hip hop, pop rap, rap, trap"
Raffi,7oWSqrgMuIEyH9qp5nu2e5,62,147124.0,canadian children's music,"canadian children's music, children's folk, children's music"
Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj,70,5638740.0,alternative metal,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
Railroad Earth,6ijT84fUReKCGYV3MjhB2y,39,99999.0,jam band,"jam band, jamgrass, progressive bluegrass"
Rainbow Kitten Surprise,4hz8tIajF2INpgM0qzPJz2,68,1008994.0,pov: indie,pov: indie
Ramin Djawadi,1hCkSJcXREhrodeIHQdav8,65,587600.0,german soundtrack,"german soundtrack, orchestral soundtrack, scorecore, soundtrack"
Rammstein,6wWVKhxIU2cEi0K81v7HvP,78,8720867.0,german metal,"german metal, industrial, industrial metal, industrial rock, neue deutsche harte"
Random Rab,4w8MWlPCLi8uZRkCMyrtCO,39,65293.0,glitch hop,"glitch hop, livetronica"
Randy Newman,3HQyFCFFfJO3KKBlUfZsyW,58,207509.0,movie tunes,"movie tunes, singer-songwriter"
Rapsody,6NL31G53xThQXkFs7lDpL5,49,248688.0,alternative r&b,"alternative r&b, north carolina hip hop, trap queen"
Raq,6jMlM9SmbFM3aqrSNq864u,6,3051.0,jam band,jam band
Raveena,2kQnsbKnIiMahOetwlfcaS,54,491129.0,alternative r&b,"alternative r&b, indie soul"
Ravenscoon,7vfvYuEyJbh1Tf3QlOTAmZ,33,17583.0,downtempo bass,downtempo bass
Rawtekk,540KBiwbWK1nVD1jtTQA0A,26,11137.0,darkstep,"darkstep, german dnb, neurofunk"
Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj,63,1006455.0,acoustic pop,"acoustic pop, indie folk, neo mellow, stomp and holler"
Ray Volpe,2K9qsrYnsu1EWt7ZQkkuXb,50,108713.0,brostep,"brostep, dubstep, gaming dubstep"
Rayven Justice,0m9husdLSRyNHOuxFAr5hB,39,58435.0,pop r&b,"pop r&b, slow game, west coast trap"
Real Friends,6dEtLwgmSI0hmfwTSjy8cw,48,273903.0,alternative emo,"alternative emo, anthem emo, chicago pop punk, emo, neon pop punk, pixie, pop punk"
Rebel Scum,59aaYbMLU4xeqKrwJSY4tE,27,3582.0,dubstep,dubstep
Rebelution,2WjvvwAX0mdWwq3aFuUdtc,61,824932.0,reggae rock,reggae rock
Reblok,42MgQRvz2CdYiI9u46YJNn,31,4406.0,serbian electronic,"serbian electronic, tech house"
Rebūke,113reBz1jA6rVxbXl55mlj,53,53331.0,irish electronic,irish electronic
Red Baraat,5MMJUQvUcssZPb0noi7ldR,11,17303.0,indian jazz,"indian jazz, street band"
Red City Radio,6SSXfZGnJaNajWRPGHq4JL,39,40379.0,ok indie,"ok indie, orgcore"
Red Fang,3u4HBuoQ4dgPBzX2Q9uf5S,42,235672.0,portland metal,"portland metal, sludge metal, stoner metal, stoner rock"
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,81,20252944.0,alternative rock,"alternative rock, funk metal, funk rock, permanent wave, rock"
Redpill,0cw20VTDfHmF2J6W8dreql,23,6219.0,darkstep,"darkstep, french dnb, neurofunk"
Reed Mathis,5sb1SIDBdjRcXKTKOxcR3G,7,2126.0,jamtronica,jamtronica
Reel Big Fish,3bXhZFreBJF4QDUUiMmtZW,51,482252.0,modern ska punk,"modern ska punk, punk, ska, ska punk, skate punk, socal pop punk"
Refused,5sdxGvwxI1TkTA6Pu2jnTb,51,219764.0,hardcore punk,"hardcore punk, post-hardcore, swedish hardcore, swedish post-hardcore, umea hardcore, vegan straight edge"
Regina Spektor,3z6Gk257P9jNcZbBXJNX5i,60,1374629.0,acoustic pop,"acoustic pop, indie pop, lilith, piano rock"
Rehab,1qh1aHXy7LRcb7eyriuJTS,51,321434.0,redneck,redneck
Relient K,3nJWBJvK7uGvfp4iZh9CkN,53,363781.0,canadian ccm,"canadian ccm, christian alternative rock, christian punk, pop punk"
Remi Wolf,0NB5HROxc8dDBXpkIi1v3d,62,401892.0,indie pop,"indie pop, modern alternative pop"
Remo Drive,5LMPXUMhWXshBPjrqvZOfv,41,126402.0,alternative emo,"alternative emo, bubblegrunge, emo"
Renegade,3vBaLrnIgG5WCQ3pTeZexc,25,5720.0,,jungle
Renée Elise Goldsberry,5VJN4jB6PqqEg4kJiAj6Eu,59,29967.0,broadway,"broadway, show tunes"
Reptar,5dMNVzCPRLL5QUGvvrNW9P,22,29058.0,athens indie,"athens indie, shimmer pop"
Restorations,7emzuJJA7yCSe3lFP0geRX,20,9889.0,alternative emo,"alternative emo, heartland rock, orgcore, philly indie"
Revocation,4I9kzJ3Ew3qPoN66UPJUl3,37,117388.0,boston metal,"boston metal, brutal death metal, death metal, deathgrind, groove metal, melodic death metal, new england metal, technical death metal, technical thrash"
Revolting Cocks,7vCJSBATlld5vDKTH87tpG,27,60490.0,ebm,"ebm, industrial, industrial metal, industrial rock"
Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,74,5635654.0,bedroom pop,"bedroom pop, pov: indie"
Rezz,4aKdmOXdUKX07HVd3sGgzw,59,478895.0,brostep,"brostep, canadian electronic, edm, electra, electro house"
Rhapsody Of Fire,2GnCQNJbs4xqFulqAdAg2U,44,367465.0,fantasy metal,"fantasy metal, italian folk metal, italian metal, italian power metal, metal, neo classical metal, power metal, symphonic metal"
Rhiannon Giddens,1EI0NtLHoh9KBziYCeN1vM,47,130099.0,black americana,"black americana, folk, new americana, north carolina roots"
Ricardo Tobar,5aluWpnmEPLnzbQs691RJM,9,4706.0,minimal melodic techno,minimal melodic techno
Riccicomoto,4mxi0tUaxG27MGf7jI10eY,15,1296.0,deep deep house,deep deep house
Rich Brian,2IDLDx25HU1nQMKde4n61a,67,2183326.0,indonesian hip hop,indonesian hip hop
Rich Homie Quan,5lHRUCqkQZCIWeX7xG4sYT,63,2827696.0,atl hip hop,"atl hip hop, dirty south rap, rap, southern hip hop, trap"
Richard Dawson,0VeQgI9lzgoOMszAOq0iml,25,34566.0,chamber psych,"experimental folk, experimental psych, newcastle indie"
Richard White,0jWqALm6pl5CHj5N0eO68G,44,3759.0,movie tunes,movie tunes
Rick Moranis,2rjQ9QqeJOXxYbTzvbP8BF,36,3603.0,hollywood,hollywood
Rick Ross,1sBkRIssrMs1AbVkOJbc7a,75,7085711.0,dirty south rap,"dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap"
Rico Nasty,2OaHYHb2XcFPvqL3VsyPzU,63,1046300.0,alternative r&b,"alternative r&b, trap queen"
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,88,58161375.0,barbadian pop,"barbadian pop, pop, urban contemporary"
Rings of Saturn,67Zm35qXdPzYfl1c3M0toJ,41,207049.0,brutal deathcore,"brutal deathcore, cosmic death metal, deathcore, djent, melodic metalcore, technical deathcore"
Rise Against,6Wr3hh341P84m3EI8qdn9O,69,2672005.0,alternative metal,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, post-grunge, punk"
Rise Of The Northstar,5vDfbSPkurKQxpVVXALJ4K,43,110208.0,beatdown,"beatdown, french hardcore, neo metal"
Rishloo,1l2cyuwystFDLEnXr254a1,38,83424.0,progressive metal,progressive metal
Rising Appalachia,3I6e2ZqqoxQhXc9z7Tp5ci,50,216598.0,high vibe,"high vibe, shamanic"
Rites of Spring,1FIzwiROYEiAdCClC6Kvly,28,54422.0,dc hardcore,"dc hardcore, emo, emo punk, emocore, post-hardcore"
Rival Consoles,05lIUgmmsmTX2N9dCKc8rC,47,149497.0,ambient idm,"ambient idm, compositional ambient, electronica, intelligent dance music"
Rival Schools,558fch9H4BrW99aTfvtYrz,32,38781.0,emo,"emo, emo punk, post-hardcore"
Rival Sons,356c8AN5YWKvz86B4Sb1yf,53,417695.0,alternative roots rock,"alternative roots rock, modern blues rock"
River City Extension,4ejPLOZ4zSuacnDa3FuWBz,4,7820.0,modern folk rock,modern folk rock
Rivers of Nihil,3UJmyt9ApeZTmOlMvBNGLN,39,107496.0,djent,"djent, jazz metal, melodic death metal, technical death metal"
Rob Zombie,3HVdAiMNjYrQIKlOGxoGh5,67,2676382.0,alternative metal,"alternative metal, hard rock, industrial metal, industrial rock, nu metal, post-grunge, rock"
Robert DeLong,42crL07E4WPfVovyUtMpvC,40,114784.0,indie poptimism,"indie poptimism, modern alternative rock, shimmer pop"
Robert Earl Keen,1jjpkAHC8bd9fRFfgKyYLP,45,179745.0,classic texas country,"classic texas country, outlaw country, texas country"
Robert Ellis,6XtG9W2KkPiQ6n1rlIvTJE,36,34287.0,alternative country,"alternative country, new americana"
Robert Nickson,0dMK3g7XAApwIpLTyE7mqJ,34,18686.0,dutch trance,"dutch trance, progressive house, progressive trance, trance, uplifting trance"
Robin S,2WvLeseDGPX1slhmxI59G3,56,86201.0,diva house,diva house
Robyn,6UE7nl9mha6s8z0wFQFIZ2,58,828117.0,dance pop,"dance pop, electropop, neo-synthpop, scandipop, swedish electropop, swedish pop"
Rochelle Jordan,3MM3uKNdJbvefUael12dl3,48,44695.0,alternative r&b,alternative r&b
Roddy Ricch,757aE44tKEUQEqRuT6GnEB,76,9853428.0,melodic rap,"melodic rap, rap, trap"
Rodrigo y Gabriela,7vX3cMVyW8gtDA4y855ynF,48,424902.0,acoustic rock,"acoustic rock, world"
Rodriguez Jr.,6Th7POyVfZgiHJQ64ddV5Y,46,100787.0,deep disco house,"deep disco house, deep euro house, french tech house, microhouse, minimal tech house, minimal techno, organic house"
Rohaan,7FqSU53yVH1SQAtLZ63DGS,31,6901.0,uk dnb,uk dnb
Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,42,102592.0,indie rock,"indie rock, modern jangle pop"
Rollz,4sLliVPsqoCVSMcTVi0aXD,16,4179.0,deep liquid,deep liquid
Roly Porter,4RN8pUdphaky5GRL8rUL6P,14,12639.0,british experimental,"british experimental, mandible, uk experimental electronic"
Roman GianArthur,7hgRzsQGjlm1zifNoigyB9,42,20382.0,,neo r&b
Rome in Silver,0Hh9X3QxTHPE2dlAS1g8IN,40,25576.0,future bass,"future bass, vapor twitch"
Roni Size,5UjqeSp9dX6Nrge7WdDukr,38,89992.0,big beat,"big beat, breakbeat, drum and bass, jungle"
Ronnie Heart,61EGxFjX635Y0FPjltVRIj,2,813.0,fort worth indie,fort worth indie
Roo Panes,0XHM5ZNJDU8e4CfbWMeSzC,52,210974.0,british singer-songwriter,"british singer-songwriter, indie anthem-folk, indie folk, stomp and holler"
Rosanne Cash,6lx6XS8umFqYRVbBErx9fE,49,170496.0,classic country pop,"classic country pop, country rock, folk, lilith, singer-songwriter"
Rosario Dawson,5gGhRZgP9BJL9fsFdvTzeX,45,8384.0,hollywood,"hollywood, show tunes"
Rosie Carney,3Aut8hgiqZSy2qmJluZMU9,45,56673.0,indie folk,"indie folk, irish singer-songwriter"
Rossdale Junction,07lLIhOAtuwjGaZ0goh3iO,35,125.0,background jazz,background jazz
Rowdy Rebel,6LXRvV2OAtXF7685fzh3mj,53,153602.0,nyc rap,nyc rap
Roy Blair,6Sa4YbwEdGlfVSJMF1Lp67,39,231084.0,bedroom pop,bedroom pop
Royal Blood,2S5hlvw4CMtMGswFtfdK15,65,1572235.0,brighton indie,"brighton indie, garage rock, modern alternative rock, modern blues rock, modern hard rock, modern rock, rock"
Royal Canoe,5fLcxlU1oDJrMNOZsewCpK,24,16485.0,manitoba indie,manitoba indie
Royal Coda,6xG7V5GWf6QWQu1EFL3WJ8,39,50205.0,progressive post-hardcore,"progressive post-hardcore, sacramento indie"
Royal Jelly Jive,1VoCRhpQ6ZJr9bfQ3BDLur,7,2824.0,western americana,western americana
"Royce Da 5'9""",6DVipHzYsPlIoA0DW8Gmns,56,780464.0,detroit hip hop,"detroit hip hop, gangster rap, hardcore hip hop, hip hop"
Rubblebucket,6xriZDSK3wPXhOoZXr9fzF,39,76552.0,shimmer pop,shimmer pop
Ruby the Hatchet,49evT9ZbNUmyT62Uh8qzGw,25,26584.0,gaian doom,"gaian doom, psychedelic doom, stoner metal"
Rudimental,4WN5naL3ofxrVBgFpguzKo,68,1382596.0,pop dance,"pop dance, uk dance, uk funky"
Rufige Kru,0MgahdBy1vfsp1loFoGIAm,16,3438.0,jungle,jungle
Run The Jewels,4RnBFZRiMLRyZy0AzzTg2C,59,1056775.0,alternative hip hop,"alternative hip hop, escape room, hip hop, political hip hop"
Rupert Gregson-Williams,2vuXYcTqreOLLnlKtMV5UG,49,34541.0,british soundtrack,"british soundtrack, orchestral soundtrack, soundtrack"
Rusangano Family,5YIUWNJqQ9YRsUr2ttImHj,3,4135.0,irish hip hop,irish hip hop
