spotify_artist_id,artist_name,genre
77yY2QmM6bYvjJ3y5L2R0v,Jeremy Soule,orchestral soundtrack
77yY2QmM6bYvjJ3y5L2R0v,Jeremy Soule,scorecore
77yY2QmM6bYvjJ3y5L2R0v,Jeremy Soule,video game music
4VhYUWpDsLraUG6Sd8g9TF,Bronze Nazareth,battle rap
4VhYUWpDsLraUG6Sd8g9TF,Bronze Nazareth,wu fam
0zOcE3mg9nS6l3yxt1Y0bK,The Fray,neo mellow
0zOcE3mg9nS6l3yxt1Y0bK,The Fray,piano rock
0zOcE3mg9nS6l3yxt1Y0bK,The Fray,pop
0zOcE3mg9nS6l3yxt1Y0bK,The Fray,pop rock
5ivCbtrcD5N4rD337xIb2z,MisterWives,indie poptimism
5ivCbtrcD5N4rD337xIb2z,MisterWives,modern rock
5ivCbtrcD5N4rD337xIb2z,MisterWives,nyc pop
5ivCbtrcD5N4rD337xIb2z,MisterWives,shimmer pop
2C8mKwk3z5DtqLcSwUdYJ9,Marc Cohn,mellow gold
4ipKeGoyPCcpEblETS4qLu,Moon Duo,neo-kraut
4ipKeGoyPCcpEblETS4qLu,Moon Duo,neo-psychedelic
40CfCtMnEXvvCKk8J1DniP,Abigail Washburn,banjo
40CfCtMnEXvvCKk8J1DniP,Abigail Washburn,clawhammer banjo
40CfCtMnEXvvCKk8J1DniP,Abigail Washburn,progressive bluegrass
5gGhRZgP9BJL9fsFdvTzeX,Rosario Dawson,hollywood
5gGhRZgP9BJL9fsFdvTzeX,Rosario Dawson,show tunes
6jRmwlzMVSICyO97aN7UnT,Taye Diggs,broadway
6jRmwlzMVSICyO97aN7UnT,Taye Diggs,hollywood
6jRmwlzMVSICyO97aN7UnT,Taye Diggs,show tunes
0bvwPCit9Yh0yVdLKGnXRi,Adam Pascal,broadway
0bvwPCit9Yh0yVdLKGnXRi,Adam Pascal,hollywood
0bvwPCit9Yh0yVdLKGnXRi,Adam Pascal,show tunes
3GZGJ33pJdAdUL6IQpK8mR,Anthony Rapp,broadway
3GZGJ33pJdAdUL6IQpK8mR,Anthony Rapp,hollywood
3GZGJ33pJdAdUL6IQpK8mR,Anthony Rapp,show tunes
2AzO6D2TXB9qEqL6UfUU8r,Lakou Mizik,haitian dance
5wPoxI5si3eJsYYwyXV4Wi,N.E.R.D,hip hop
5wPoxI5si3eJsYYwyXV4Wi,N.E.R.D,virginia hip hop
1IpQ6i3zJ9nJwmsm5T2O9v,AWAL,canadian electronic
5wwneIFdawNgQ7GvKK29Z3,Lucas & Steve,dutch house
5wwneIFdawNgQ7GvKK29Z3,Lucas & Steve,edm
5wwneIFdawNgQ7GvKK29Z3,Lucas & Steve,electro house
5wwneIFdawNgQ7GvKK29Z3,Lucas & Steve,pop dance
5wwneIFdawNgQ7GvKK29Z3,Lucas & Steve,progressive electro house
